call_number,latency_seconds
1,0.02538466453552246
2,0.028771638870239258
3,0.027983665466308594
4,0.025444984436035156
5,0.02714991569519043
6,0.02697443962097168
7,0.02671074867248535
8,0.02691650390625
9,0.025391578674316406
10,0.0265347957611084
11,0.025948047637939453
12,0.02755117416381836
13,0.029140233993530273
14,0.030050277709960938
15,0.02698063850402832
16,0.02779555320739746
17,0.027786970138549805
18,0.026973247528076172
19,0.02819991111755371
20,0.025187015533447266
21,0.025397300720214844
22,0.026149749755859375
23,0.027606725692749023
24,0.026492595672607422
25,0.027875423431396484
26,0.026758670806884766
27,0.02794933319091797
28,0.027155160903930664
29,0.02608656883239746
30,0.027638673782348633
31,0.026598215103149414
32,0.02777552604675293
33,0.0290224552154541
34,0.025818824768066406
35,0.026165485382080078
36,0.028856515884399414
37,0.02681279182434082
38,0.025835037231445312
39,0.02475142478942871
40,0.02716064453125
41,0.024211883544921875
42,0.026113271713256836
43,0.025605440139770508
44,0.02599787712097168
45,0.02663421630859375
46,0.028229951858520508
47,0.025455474853515625
48,0.02655506134033203
49,0.025278329849243164
50,0.026094913482666016
51,0.07123708724975586
52,0.026522159576416016
53,0.027402639389038086
54,0.027425289154052734
55,0.025468111038208008
56,0.028629779815673828
57,0.027126312255859375
58,0.026140213012695312
59,0.026146888732910156
60,0.024236440658569336
61,0.02574634552001953
62,0.025286197662353516
63,0.031607866287231445
64,0.02612447738647461
65,0.025996685028076172
66,0.026348352432250977
67,0.026375770568847656
68,0.02602696418762207
69,0.02452540397644043
70,0.027364015579223633
71,0.027504920959472656
72,0.02821207046508789
73,0.026508808135986328
74,0.02612781524658203
75,0.02537226676940918
76,0.024489641189575195
77,0.024015188217163086
78,0.02615833282470703
79,0.027728557586669922
80,0.025545358657836914
81,0.026707887649536133
82,0.025398731231689453
83,0.031638145446777344
84,0.02470684051513672
85,0.026707172393798828
86,0.026929140090942383
87,0.02715754508972168
88,0.024906635284423828
89,0.025072574615478516
90,0.027302980422973633
91,0.026390790939331055
92,0.02544999122619629
93,0.025556087493896484
94,0.02672600746154785
95,0.025805234909057617
96,0.028737545013427734
97,0.02736210823059082
98,0.025958538055419922
99,0.0246429443359375
100,0.024796009063720703
