call_number,latency_seconds
1,0.059279680252075195
2,0.028606891632080078
3,0.026905298233032227
4,0.02778792381286621
5,0.025587081909179688
6,0.02725529670715332
7,0.026115894317626953
8,0.025676250457763672
9,0.026076555252075195
10,0.026034116744995117
11,0.026172637939453125
12,0.025887727737426758
13,0.02690720558166504
14,0.025971651077270508
15,0.025948286056518555
16,0.06401562690734863
17,0.03006458282470703
18,0.026322603225708008
19,0.025883197784423828
20,0.02459096908569336
21,0.026638507843017578
22,0.024399280548095703
23,0.02695465087890625
24,0.02960801124572754
25,0.025524377822875977
26,0.027220487594604492
27,0.028495073318481445
28,0.025656938552856445
29,0.027108430862426758
30,0.027742862701416016
31,0.02616572380065918
32,0.02489304542541504
33,0.025928497314453125
34,0.02549910545349121
35,0.026274442672729492
36,0.026265859603881836
37,0.025351524353027344
38,0.0251157283782959
39,0.027669191360473633
40,0.026718854904174805
41,0.02840399742126465
42,0.02841806411743164
43,0.030024290084838867
44,0.028751850128173828
45,0.024085044860839844
46,0.026577472686767578
47,0.025086402893066406
48,0.02571558952331543
49,0.026169776916503906
50,0.02393817901611328
51,0.02669525146484375
52,0.023604869842529297
53,0.025951147079467773
54,0.02597355842590332
55,0.026778221130371094
56,0.023119449615478516
57,0.02681899070739746
58,0.025453805923461914
59,0.02465224266052246
60,0.026202678680419922
61,0.025897979736328125
62,0.02495741844177246
63,0.027657747268676758
64,0.029661893844604492
65,0.02720022201538086
66,0.025472402572631836
67,0.02751302719116211
68,0.02515888214111328
69,0.027225732803344727
70,0.02514791488647461
71,0.026138782501220703
72,0.026086807250976562
73,0.025029897689819336
74,0.023642301559448242
75,0.026940107345581055
76,0.024527311325073242
77,0.027190685272216797
78,0.025809049606323242
79,0.024718523025512695
80,0.025067806243896484
81,0.023619413375854492
82,0.02640247344970703
83,0.023203134536743164
84,0.025049209594726562
85,0.027211904525756836
86,0.023838520050048828
87,0.026847124099731445
88,0.025531768798828125
89,0.030971527099609375
90,0.031899452209472656
91,0.028178691864013672
92,0.024975299835205078
93,0.02515721321105957
94,0.02721381187438965
95,0.026375770568847656
96,0.031395912170410156
97,0.026050806045532227
98,0.02559518814086914
99,0.026380300521850586
100,0.026690244674682617
